Bubble sort, 2000, 3998000, 0.003955
insertion_sort, 2000, 1020156, 0.000477
selection_sort, 2000, 2001000, 0.001489
shell_sort, 2000, 17177, 0.000111
merge_sort, 2000, 19445, 0.000354
Quick sort, 2000, 25623, 0.000103
iquick sort, 2000, 24497, 0.000061
Priority Queue sort, 2000, 36527, 0.000107
Bubble sort, 4000, 15996000, 0.016524
insertion_sort, 4000, 3991308, 0.001959
selection_sort, 4000, 8002000, 0.005306
shell_sort, 4000, 46099, 0.000318
merge_sort, 4000, 42780, 0.000683
Quick sort, 4000, 55987, 0.000201
iquick sort, 4000, 54490, 0.000132
Priority Queue sort, 4000, 80905, 0.000243
Bubble sort, 6000, 35994000, 0.039623
insertion_sort, 6000, 8887716, 0.003755
selection_sort, 6000, 18003000, 0.011620
shell_sort, 6000, 70511, 0.000365
merge_sort, 6000, 67933, 0.000920
Quick sort, 6000, 96016, 0.000258
iquick sort, 6000, 95480, 0.000210
Priority Queue sort, 6000, 128868, 0.000379
Bubble sort, 8000, 63992000, 0.074558
insertion_sort, 8000, 16114418, 0.006867
selection_sort, 8000, 32004000, 0.020562
shell_sort, 8000, 108375, 0.000506
merge_sort, 8000, 93631, 0.001195
Quick sort, 8000, 128337, 0.000348
iquick sort, 8000, 121136, 0.000287
Priority Queue sort, 8000, 177834, 0.000510
Bubble sort, 10000, 99990000, 0.119748
insertion_sort, 10000, 24780650, 0.010458
selection_sort, 10000, 50005000, 0.031931
shell_sort, 10000, 145746, 0.000649
merge_sort, 10000, 120407, 0.001591
Quick sort, 10000, 154287, 0.000435
iquick sort, 10000, 167257, 0.000497
Priority Queue sort, 10000, 229468, 0.000657
Bubble sort, 12000, 143988000, 0.177173
insertion_sort, 12000, 35927025, 0.015541
selection_sort, 12000, 72006000, 0.045856
shell_sort, 12000, 186925, 0.001077
merge_sort, 12000, 147659, 0.002122
Quick sort, 12000, 182654, 0.000548
iquick sort, 12000, 200543, 0.000453
Priority Queue sort, 12000, 281846, 0.000897
Bubble sort, 14000, 195986000, 0.245201
insertion_sort, 14000, 48742480, 0.020423
selection_sort, 14000, 98007000, 0.061332
shell_sort, 14000, 213267, 0.001023
merge_sort, 14000, 175320, 0.002312
Quick sort, 14000, 239117, 0.000706
iquick sort, 14000, 231060, 0.000590
Priority Queue sort, 14000, 334740, 0.001031
Bubble sort, 16000, 255984000, 0.330479
insertion_sort, 16000, 64403210, 0.027078
selection_sort, 16000, 128008000, 0.080124
shell_sort, 16000, 310735, 0.001171
